,test
83543,1.17634789354671
199,5.01566328266343
9131,5.95099464545441
84883,4.10876021241399
150209,4.61157111807192
51390,4.88041291059201
55057,2.24513938644532
202,6.01250915583443
9447,-0.411470392437116
9255,5.36937897539169
7965,5.81410594702994
23746,-6.64385618977472
9049,6.08117212757537
326,-5.16287958850851
55966,-2.65052944429587
203,3.2464471569946
204,6.7758461033
205,2.82773006813768
50808,6.13904019414911
26289,-3.39546823540184
122481,0.411333375812055
11216,3.65515405278284
11215,3.91397097351924
9590,2.6660059732293
11214,5.07152747781107
158798,-3.51174932055423
8165,6.75435702318627
11217,2.56736269451896
10566,-2.69748285043711
8852,-2.67230938245588
9495,0.0843899329690709
9472,-0.291768488564708
9465,3.18049216050129
26993,5.24864915325539
10270,4.55033935038571
10142,4.86783419247781
221264,1.55471032737661
79647,5.14223229862975
55122,5.58785618416483
254268,-1.76934261183631
80709,3.45300165316151
10327,7.35234011517885
57016,3.36334120767585
441282,-6.64385618977472
231,4.18990699172104
1645,1.96045714799153
1646,1.30753851812312
8644,5.6545928978664
1109,-0.741171324232067
340811,-6.64385618977472
6718,-6.64385618977472
83592,1.16252756288961
8574,5.55024253583763
22977,5.44275001013114
246181,1.26189102029104
84335,5.5762033016225
207,6.86136844956845
208,5.37633848276381
10000,2.77673207044194
64400,3.72781980106397
210,4.66245722709528
211,5.41022965258269
212,-4.99102986594195
213,-4.13268873927357
214,4.91737824301641
126133,4.76772202360373
5832,6.1811279597906
216,5.81397357465523
8854,-3.35167164177279
220,4.48990264223756
219,6.86856534417254
10840,-0.466235102228995
160428,-0.28575116524869
217,8.11667627532553
218,2.78675523218875
224,5.91390478073176
221,4.04885962925411
222,-2.1902218392833
8659,4.24755465352409
7915,3.04103712082873
4329,3.20564330387437
501,5.51593952703993
64577,-2.44734049006236
223,5.12499737305139
226,9.96690538417942
229,4.13502499135123
230,3.8617991599243
144245,0.0601365041480248
84920,1.61106405197883
440138,-0.447194824112089
79087,4.21497840212413
79868,4.62191567944137
199857,4.51851715858071
644974,-4.09048616097137
200810,3.40508925649108
56052,4.00193688808562
85365,4.43039230528573
10195,6.14851670510057
29880,6.02124918687899
29929,2.69475491292264
79053,5.2067328390309
79796,3.49573721757278
8846,2.53506151782987
121642,5.11750919548559
221120,4.25187493804551
54784,3.61037831496315
54890,5.24076330056667
84964,3.51570944087574
84266,5.7468550131083
91801,1.81765385493328
238,-6.64385618977472
55821,-4.66264114745017
200420,-2.17720778541796
7840,2.03268595582782
242,-4.57184435654758
245,0.450677739576365
239,-1.45314544207375
247,-4.09674086586849
246,-1.07048619685471
241,4.15663919251081
240,3.4370548793849
59344,-4.86220522713377
248,-1.4990569359429
80216,2.77034978980636
115701,-1.58301976304409
57538,4.35250772842717
249,1.08430317991666
251,-6.64385618977472
250,-3.42199201544801
259173,3.73984773223702
151254,-3.96509540807964
130540,-2.6644690631665
65062,3.79251111628749
79800,1.61277704806249
57679,3.1935995180888
8092,-3.17828705580826
